Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Avatar ,James Cameron,178,CCH Pounder,Joel David Moore,Wes Studi,760505847,237000000,2009
Pirates of the Caribbean: At World's End ,Gore Verbinski,169,Johnny Depp,Orlando Bloom,Jack Davenport,309404152,300000000,2007
Spectre ,Sam Mendes,148,Christoph Waltz,Rory Kinnear,Stephanie Sigman,200074175,245000000,2015
The Dark Knight Rises ,Christopher Nolan,164,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,448130642,250000000,2012
Star Wars: Episode VII - The Force Awakens             ,Doug Walker,,Doug Walker,Rob Walker,,,,
John Carter ,Andrew Stanton,132,Daryl Sabara,Samantha Morton,Polly Walker,73058679,263700000,2012
Spider-Man 3 ,Sam Raimi,156,J.K. Simmons,James Franco,Kirsten Dunst,336530303,258000000,2007
Tangled ,Nathan Greno,100,Brad Garrett,Donna Murphy,M.C. Gainey,200807262,260000000,2010
Avengers: Age of Ultron ,Joss Whedon,141,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,458991599,250000000,2015
Harry Potter and the Half-Blood Prince ,David Yates,153,Alan Rickman,Daniel Radcliffe,Rupert Grint,301956980,250000000,2009
Batman v Superman: Dawn of Justice ,Zack Snyder,183,Henry Cavill,Lauren Cohan,Alan D. Purwin,330249062,250000000,2016
Superman Returns ,Bryan Singer,169,Kevin Spacey,Marlon Brando,Frank Langella,200069408,209000000,2006
Quantum of Solace ,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,168368427,200000000,2008
Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,151,Johnny Depp,Orlando Bloom,Jack Davenport,423032628,225000000,2006
The Lone Ranger ,Gore Verbinski,150,Johnny Depp,Ruth Wilson,Tom Wilkinson,89289910,215000000,2013
Man of Steel ,Zack Snyder,143,Henry Cavill,Christopher Meloni,Harry Lennix,291021565,225000000,2013
The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,150,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,141614023,225000000,2008
The Avengers ,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,623279547,220000000,2012
Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,136,Johnny Depp,Sam Claflin,Stephen Graham,241063875,250000000,2011
Men in Black 3 ,Barry Sonnenfeld,106,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,179020854,225000000,2012
The Hobbit: The Battle of the Five Armies ,Peter Jackson,164,Aidan Turner,Adam Brown,James Nesbitt,255108370,250000000,2014
The Amazing Spider-Man ,Marc Webb,153,Emma Stone,Andrew Garfield,Chris Zylka,262030663,230000000,2012
Robin Hood ,Ridley Scott,156,Mark Addy,William Hurt,Scott Grimes,105219735,200000000,2010
The Hobbit: The Desolation of Smaug ,Peter Jackson,186,Aidan Turner,Adam Brown,James Nesbitt,258355354,225000000,2013
The Golden Compass ,Chris Weitz,113,Christopher Lee,Eva Green,Kristin Scott Thomas,70083519,180000000,2007
King Kong ,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,Evan Parke,218051260,207000000,2005
Titanic ,James Cameron,194,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,658672302,200000000,1997
Captain America: Civil War ,Anthony Russo,147,Robert Downey Jr.,Scarlett Johansson,Chris Evans,407197282,250000000,2016
Battleship ,Peter Berg,131,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,65173160,209000000,2012
Jurassic World ,Colin Trevorrow,124,Bryce Dallas Howard,Judy Greer,Omar Sy,652177271,150000000,2015
Skyfall ,Sam Mendes,143,Albert Finney,Helen McCrory,Rory Kinnear,304360277,200000000,2012
Spider-Man 2 ,Sam Raimi,135,J.K. Simmons,James Franco,Kirsten Dunst,373377893,200000000,2004
Iron Man 3 ,Shane Black,195,Robert Downey Jr.,Jon Favreau,Don Cheadle,408992272,200000000,2013
